date,Ozone
11/27/1998,0.1464
11/20/1998,0.1464
11/13/1998,0.0732
11/6/1998,0.1342
10/30/1998,0.122
10/23/1998,0.1159
10/16/1998,0.1342
10/9/1998,0.183
10/2/1998,0.1342
9/25/1998,0.1403
9/18/1998,0.1403
9/11/1998,0.0915
9/4/1998,0.1342
8/28/1998,0.1464
8/21/1998,0.1281
8/14/1998,0.1464
